paperUUID,expertUUID,role,name,lastname
f99a0a02-6ef7-474b-a189-762e72c7aade,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Author,Jon,Aaen
efe40ace-cdbd-4ba7-95c8-564821b3c3c7,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Author,Jon,Aaen
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Author,Jon,Aaen
ad57a1c8-b684-4d9c-98e6-01787150f335,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Author,Jon,Aaen
37c5b31f-8062-407f-b6af-6067a8503a5e,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Author,Jon,Aaen
80eba546-1c77-4811-9318-cbd178c454c9,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Author,Jon,Aaen
7f1ac56b-4774-4f11-a95c-491a37a9d7c8,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Author,Jon,Aaen
63527c7b-ce38-4ae3-bf7a-09bdddaabe75,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Author,Jon,Aaen
ee6b1f90-adbd-4736-9cb1-92b2b2ae6005,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Author,Jon,Aaen
7b6bfac0-1059-420b-9449-99a491359a42,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Author,Jon,Aaen
22e4e1f7-4bd7-43c6-a633-44ea9764b958,,Author,Raffaele,Ciriello
d66462d0-7f70-489c-b339-5c637407b797,,Author,Nina,Boulus
0a1670e7-be11-400c-bd21-7393075d15dd,,Author,Nina,Boulus
b98804e8-2ce1-498a-8568-ef53e9455844,,Author,Mar,Alaranta
cd0dfae0-830a-11dd-b116-000ea68e967b,,Author,Espen,Aarseth
591e52c0-862e-11dd-8006-000ea68e967b,,Author,Espen,Aarseth
f2993e8b-c9b9-4925-9808-87c337b8cb03,,Author,Espen,Aarseth
7e1e84e7-2c54-4122-87d2-6a6c5e3d99dc,,Author,Espen,Aarseth
04d057b4-fe9f-4953-a73e-45afb2718d20,,Author,Espen,Aarseth
242d6520-bfbe-4b7d-a84e-c596ac99d868,,Author,Espen,Aarseth
569ad177-f013-476d-bede-0f3e46ddc71a,,Author,Espen,Aarseth
c2de0411-0417-4d45-b3a8-6f11f2c0974d,,Editor,Espen,Aarseth
2ef22931-a9bc-4a9f-846b-0fd1e73960a3,,Editor,Espen,Aarseth
70c44117-395c-47c8-9832-6f38d872a74a,,Editor,Espen,Aarseth
815c1f2e-ab99-41ce-9ada-24676062ecaf,,Author,Espen,Aarseth
d5df346c-7eb1-435c-b45b-6045ad8e1e99,,Author,Espen,Aarseth
171c21a8-c776-4a6f-a893-f6a8e2c9656c,,Editor,Espen,Aarseth
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Author,Espen,Aarseth
54c040e5-4b5a-4d19-8625-0b715b5c204f,80784458-06f6-4eff-b0c8-df982ffa9835,Author,Rune Kristian Lundedal,Nielsen
e11d23fd-4f63-42b3-a049-9b93e4925009,,Author,Espen J.,Aarseth
4e3e4f11-e91b-4179-a714-f1b874c67704,,Author,Espen J.,Aarseth
55baa68d-9b80-4fc9-a73b-6939bc507ba2,,Author,Espen J.,Aarseth
2e3bb52a-e9a3-4f46-ba39-53db4babc62e,,Author,Espen J.,Aarseth
3275258c-f2fa-4ec4-943c-624b335edd4f,,Author,Espen J.,Aarseth
30976996-034c-4164-9f2d-980a2809ba91,,Author,Espen J.,Aarseth
5b2b5fcc-4585-49ab-bc07-0fab237c138c,,Author,Espen J.,Aarseth
e1e420ec-f9a5-4cf6-969e-f1846cbf04ec,,Author,Espen J.,Aarseth
6df2b19c-4a98-4975-aaa2-c183d1d9ccbc,,Author,Espen J.,Aarseth
cf80036e-9dca-4f9b-b1fa-d93251f3b7e9,,Author,Espen J.,Aarseth
d451c215-70ff-4485-b817-becc3bfaf719,,Author,Espen J.,Aarseth
9e28b830-b69a-41c9-bef4-8f17bd7908ba,,Author,Espen J.,Aarseth
77c0cb82-49ce-4e6e-8506-502d053ba0e4,,Author,Espen J.,Aarseth
5c14a08e-4dc6-44fc-9f06-0a2f905ce1d1,,Author,Espen J.,Aarseth
1f5b7175-673b-47e5-a7db-78d62c96b66d,,Author,Espen J.,Aarseth
cd6c8e87-518d-4e0b-8ec7-442baa7918ff,,Author,Espen J.,Aarseth
cd6c8e87-518d-4e0b-8ec7-442baa7918ff,,Author,Johanna,Blom
b71caa47-1bef-4b5a-a4a2-194db4ac8ed8,,Author,Espen J.,Aarseth
291c18d7-f318-47e6-85bc-d8d0131b13e5,,Editor,Espen J.,Aarseth
5ba6d38a-c062-4398-9b9c-e4a47ab604ab,,Author,Espen J.,Aarseth
625a48a7-80cf-49ab-a46b-ddff586284f6,,Author,Espen J.,Aarseth
1127dedf-44fc-4351-97bc-4f1b500ed181,,Author,Espen J.,Aarseth
1127dedf-44fc-4351-97bc-4f1b500ed181,,Author,Sebastian Martin,Möring
ac2d4289-c93e-4942-9368-e5b52c9ea675,,Author,Espen J.,Aarseth
7784ca25-c50f-45cd-b900-153f5f5d6078,,Author,Espen J.,Aarseth
4962a8c2-d5e2-480e-b734-50adf0693859,,Author,Espen J.,Aarseth
2b076225-3b9e-4c2e-bbd8-0062c4415651,,Editor,Espen J.,Aarseth
41f703d1-d860-4c14-9336-f15c4b3febec,,Author,Espen J.,Aarseth
0fb19dee-cd02-462b-9781-06c77260e6bd,,Author,Espen J.,Aarseth
0fb19dee-cd02-462b-9781-06c77260e6bd,42147e05-f94c-471d-a889-c57a01e4bdd0,Author,Pawel,Grabarczyk
9c541576-e9e0-44cf-9626-94d0840d4a1d,,Author,Espen J.,Aarseth
4ae6a30d-e34c-4350-a1f7-ae9346ba9a55,,Author,Espen J.,Aarseth
f9e35c09-57b2-4190-850e-7bc0568247c6,,Author,Espen J.,Aarseth
f9e35c09-57b2-4190-850e-7bc0568247c6,,Author,Torill Elvira,Mortensen
c8d15d32-be36-4269-ad6f-7ea7cad6c295,,Author,Espen J.,Aarseth
56144d2b-1ffb-4582-b731-7c702dbc2345,,Author,Espen J.,Aarseth
7cd9005a-cb4c-4196-9550-391370b7fb43,,Author,Espen J.,Aarseth
ec299816-b5ad-4b64-9235-cbfed17e7f9e,efa39e70-a80a-4780-b151-ba31b01726bb,Author,Per B.,Brockhoff
d84cf3c5-be69-425c-b9e3-d67bef416753,efa39e70-a80a-4780-b151-ba31b01726bb,Author,Per B.,Brockhoff
206e4f57-ad7a-48e1-b8f2-547fec83acfc,,Author,Lars,Birkedal
4aea84e9-050f-4dfb-a0e8-25f12437ee00,,Author,Iago,Abal
4aea84e9-050f-4dfb-a0e8-25f12437ee00,47a94200-3abe-4354-b5e3-c8ef6f1ba1f2,Author,Claus,Brabrand
4aea84e9-050f-4dfb-a0e8-25f12437ee00,a39b94ff-e1b6-4b96-8404-486167a9123d,Author,Andrzej,Wasowski
94da0acc-af5a-44ab-abae-f23e1b33987d,,Author,Iago,Abal
94da0acc-af5a-44ab-abae-f23e1b33987d,,Author,Jean,Melo
94da0acc-af5a-44ab-abae-f23e1b33987d,,Author,Stefan,Stanciulescu
94da0acc-af5a-44ab-abae-f23e1b33987d,47a94200-3abe-4354-b5e3-c8ef6f1ba1f2,Author,Claus,Brabrand
94da0acc-af5a-44ab-abae-f23e1b33987d,a39b94ff-e1b6-4b96-8404-486167a9123d,Author,Andrzej,Wasowski
3d3d590d-89b7-4776-847b-8da1ca104c45,,Author,Iago,Abal
3d3d590d-89b7-4776-847b-8da1ca104c45,47a94200-3abe-4354-b5e3-c8ef6f1ba1f2,Author,Claus,Brabrand
3d3d590d-89b7-4776-847b-8da1ca104c45,a39b94ff-e1b6-4b96-8404-486167a9123d,Author,Andrzej,Wasowski
0e49901a-4f89-4a2e-a2bd-be21da8efe97,,Author,Iago,Abal Rivas
0e49901a-4f89-4a2e-a2bd-be21da8efe97,47a94200-3abe-4354-b5e3-c8ef6f1ba1f2,Author,Claus,Brabrand
0e49901a-4f89-4a2e-a2bd-be21da8efe97,a39b94ff-e1b6-4b96-8404-486167a9123d,Author,Andrzej,Wasowski
20021604-4452-4aca-92b7-d50e8c6e565c,,Author,Hugo Andres,Lopez
20021604-4452-4aca-92b7-d50e8c6e565c,,Author,Tijs,Slaats
6debf7dc-176d-444f-ade4-fa1fca0dadb8,,Author,Gabriella,A B Barros
6debf7dc-176d-444f-ade4-fa1fca0dadb8,,Author,Antonios,Liapis
6debf7dc-176d-444f-ade4-fa1fca0dadb8,,Author,Julian,Togelius
6b1d8098-2721-4c5d-9410-4506f4b0cee7,,Author,Jose,Abdelnour-Nocera
c12105e7-b22f-4ca1-87b8-66cfec9378a7,,Author,José,Abdelnour-Nocera
6ca19251-f412-4609-9119-9a585ce507dc,,Author,Jose,Abdelnour-Nocera
f426bd1d-a2f3-4ab3-905c-e1ce0c7a8ba9,,Author,José,Abdelnour-Nocera
a251092c-fca4-40f5-93b7-0447df5a6dec,1052b289-f510-4c5a-9662-2db48c12ebc2,Author,Lene,Nielsen
a251092c-fca4-40f5-93b7-0447df5a6dec,92f6c3f3-0ad2-40fc-b278-69170f87567d,Author,Lars Rune,Christensen
d990a4a8-f5f1-49f9-8d6e-e5899c637b5d,1052b289-f510-4c5a-9662-2db48c12ebc2,Author,Lene,Nielsen
30408dd9-707b-4d4f-8d51-4b745e984e3d,1052b289-f510-4c5a-9662-2db48c12ebc2,Author,Lene,Nielsen
65db9ec9-5687-40e2-80c4-a72f001e4b39,1052b289-f510-4c5a-9662-2db48c12ebc2,Author,Lene,Nielsen
977e2189-d92d-4ed2-9bc8-a5979639647f,1052b289-f510-4c5a-9662-2db48c12ebc2,Author,Lene,Nielsen
1f00fe47-05a3-40bf-a52d-348a237a627d,e726f512-d3fd-4d89-962a-3aa9f532a52f,Author,Toine,Bogers
008d17d1-03f3-49d2-9e9d-ecae7ca0bc4f,2f293c68-8b2f-4c61-a8c3-6d64d8916bff,Author,Amna ,Abdullah
008d17d1-03f3-49d2-9e9d-ecae7ca0bc4f,9504265d-0046-4e58-b529-256a656c012d,Author,Christian ,Hardmeier
11f79889-98e7-4973-a7f9-904197f9f2ba,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Author,Erik,Grönvall
ff07f4c3-ab0b-423e-8a3d-0c1731393b95,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Author,Erik,Grönvall
