projectUUID,paperUUID
fdb81bd5-74a4-45dd-9e7f-31d7a53fedd4,9fa5c68d-a110-4264-a02b-b2e2ff58d321
fdb81bd5-74a4-45dd-9e7f-31d7a53fedd4,af6967f5-a384-4924-b098-2bfd3d65b041
fdb81bd5-74a4-45dd-9e7f-31d7a53fedd4,09657657-cd30-49d1-9c37-12baca423a50
fdb81bd5-74a4-45dd-9e7f-31d7a53fedd4,63ffc7b1-a4fc-4af9-8af7-ad2cc949461a
fdb81bd5-74a4-45dd-9e7f-31d7a53fedd4,a1930333-a08c-49a6-8d10-daf061ff7d93
43e52d24-2010-4aeb-b453-c33971dc382a,c2f8832f-a91d-4d87-aa50-9d6703c51a27
8d371dc6-a3eb-43ec-93b0-116764f1db22,f01eccef-eb8b-4a7b-8881-806388fd9c12
8d371dc6-a3eb-43ec-93b0-116764f1db22,96bcd5b9-5027-4654-9851-48b210bbdf9c
8d371dc6-a3eb-43ec-93b0-116764f1db22,58836777-0286-4c2d-b352-b1087c8d8c6f
0694dccc-b954-4680-8d26-6c8d53685d29,be5cb4cb-0b23-41bf-b9e0-9aff426c0684
0694dccc-b954-4680-8d26-6c8d53685d29,34245b8a-f42a-423d-adfc-5d96a320b352
0694dccc-b954-4680-8d26-6c8d53685d29,9fd8eaf7-ad97-44f5-a00a-e7e7732c8c3d
0694dccc-b954-4680-8d26-6c8d53685d29,e98f01c7-2e55-455c-9f3d-6196bd05dacd
0694dccc-b954-4680-8d26-6c8d53685d29,587d6dd6-aea8-4099-a2f7-100d373d7881
0694dccc-b954-4680-8d26-6c8d53685d29,7074a16e-eee3-4328-819a-f8c06dd8c603
0694dccc-b954-4680-8d26-6c8d53685d29,16595bc3-aaa9-44c2-afef-b50d5a339f44
0694dccc-b954-4680-8d26-6c8d53685d29,396f7175-03d2-4889-bb82-20b544970e77
0694dccc-b954-4680-8d26-6c8d53685d29,b93735f9-6ca5-4eeb-8c08-4ad4959f9b25
0694dccc-b954-4680-8d26-6c8d53685d29,5c9da3b9-6b3e-4de2-acdd-51a04c19b34d
0694dccc-b954-4680-8d26-6c8d53685d29,0b779f6b-e734-42cd-83c4-332354f60b83
55453a09-dd3c-4254-b50c-1d6e0d281dff,6ef08ac6-df19-4e67-82ba-7954a4e87070
55453a09-dd3c-4254-b50c-1d6e0d281dff,ad2099fd-feb0-47a0-94eb-bba6ed2d85a8
55453a09-dd3c-4254-b50c-1d6e0d281dff,4b010bb6-18f8-4cd4-a2f8-7f4c37444cfc
55453a09-dd3c-4254-b50c-1d6e0d281dff,4bfe2952-8f5d-4536-a9c9-f5fb93d3749b
55453a09-dd3c-4254-b50c-1d6e0d281dff,dcceaf9e-7806-487b-ac13-ff6e7ace4c02
55453a09-dd3c-4254-b50c-1d6e0d281dff,70ae84be-c9f8-4d55-84f5-b928ca67bf36
