ProjectUUID,PersonUUID,Role
55453a09-dd3c-4254-b50c-1d6e0d281dff,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Principal Investigator
8097c0e5-c30a-430a-9106-e48815dc802e,dbf46bed-0956-47c4-95e9-d850c6f897d5,Co-Investigator
8097c0e5-c30a-430a-9106-e48815dc802e,55750491-d4d3-47d4-a473-7a2252edb685,Co-Investigator
820953a2-9085-49f5-84eb-2b7b90f26f74,0ee7ba1e-3108-4db3-a908-97977980d032,Co-Investigator
820953a2-9085-49f5-84eb-2b7b90f26f74,b2b68ce2-6257-45bf-ab48-dc17d05c885e,Co-Investigator
820953a2-9085-49f5-84eb-2b7b90f26f74,8627449e-0403-47b5-bb0c-6ae099fd94e2,Co-Investigator
def5ee8f-0260-44af-b3ae-e02e5aec1605,10003d22-a201-4b64-88e3-b423bc76fcc2,Co-Investigator
627db78d-dc0c-4fa3-879d-b5b4aef2867f,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Principal Investigator
a5cd3c3c-d1ff-4fe6-b08e-263d51de6813,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
51ac42a5-e884-400e-92a7-6f200f189499,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Co-Investigator
51ac42a5-e884-400e-92a7-6f200f189499,b752c464-c7fb-4a52-a0c3-3b2d3db5d62f,Co-Investigator
eca259ab-ea40-4758-bbb5-6533b2c39916,f6921641-1f0a-4e24-a3a9-546e3927ab72,Co-Investigator
8dc6ea1f-9006-408b-9e5c-77126c827bc3,0cc78e11-da3d-4687-a49a-76a2ba39c292,Co-Investigator
c27aeaee-ce0c-41cd-887b-627225b6b0b6,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Principal Investigator
22225314-e30a-47e7-b5c5-3e9e1ecdc8d3,5ad9c220-e37f-443a-8a31-fc4abf365db5,Principal Investigator
fb5462ca-cc1b-4534-b83a-fea1c580873d,d55dab65-fffe-4da4-a383-cfcf5ee3a8cd,Principal Investigator
a3eec805-3c21-4472-83b3-dfde1ec5a377,1313519f-2074-41d6-8b79-589648e37211,Principal Investigator
