Course Name,Course Summary,Abstract,Description,ECTS,Semester,Language,Exam,Teacher,Programme,Single Subject,Guest Students
Exam Seminar (TDP) S2019,,,,0,,,,,,No,No
KDDIT Thesis Prep Seminar (Autumn 2019),,,,0,Autumn 2019,,,,K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies),No,No
Studylab 1. semester SWU (Autumn 2019),,,,0,Autumn 2019,,,,B-SWU:Bachelor of Science in Software Development,No,No
Studylab 3. semester SWU (Autumn 2019),,,,0,Autumn 2019,,,,B-SWU:Bachelor of Science in Software Development,No,No
TA workshop S2025 vol. 2,,,,0,,,,,,No,No
"(Canceled) AI security: Principles, Practices and Policies, BSc (Autumn 2024)",,,,0,Autumn 2024,,,,B-DS:BSc in Data Science,No,No
"(Canceled) AI security: Principles, Practices and Policies, MSc (Autumn 2024)",,,,0,Autumn 2024,,,,K-CS:MSc in Computer Science,No,No
(Canceled) Advanced Programming with Types (Spring 2025),,,,0,Spring 2025,,,,K-CS:MSc in Computer Science,No,No
(Canceled) Affect and Soma in Design (Autumn 2021),,,,0,Autumn 2021,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
"(Canceled) Algorithms and Data Structures, BSc (Summer University) (Spring 2024)",,,,0,Spring 2024,,,,B-DS:BSc in Data Science,No,No
"(Canceled) Algorithms and Data Structures, BSc (Summer University) (Spring 2025)",,,,0,Spring 2025,,,,B-DS:BSc in Data Science,No,No
"(Canceled) Algorithms and Data Structures, MSc (Summer University) (Spring 2024)",,,,0,Spring 2024,,,,K-SD:MSc in Software Design,No,No
(Canceled) Critical Data Analysis (Spring 2023),,,,0,Spring 2023,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
"(Canceled) Cryptographic Computation and Blockchain, BSc (Autumn 2025)",,,,0,Autumn 2025,,,,B-SWU:BSc in Software Development,No,No
"(Canceled) Cryptographic Computation and Blockchain, BSc (Spring 2024)",,,,0,Spring 2024,,,,B-SWU:BSc in Software Development,No,No
